* AutoImpedance measurements
*  2\19\2015* 16:16:51
*
* m = 5.40
* expected = 4460.00
* b = 34.00
*
* elec 	 RMS/Impedance
*******	**************
  elec1	   190 
  elec2	   187 
  elec3	   470 
  elec4	   293 
  elec5	   275 
  elec6	   312 
  elec7	   333 
  elec8	   474 
  elec9	   342 
 elec10	   414 
 elec11	   317 
 elec12	   273 
 elec13	   321 
 elec14	   378 
 elec15	   284 
 elec16	   300 
 elec17	   272 
 elec18	   375 
 elec19	   328 
 elec20	   266 
 elec21	   377 
 elec22	   229 
 elec23	   273 
 elec24	   246 
 elec25	   364 
 elec26	   400 
 elec27	   235 
 elec28	   243 
 elec29	   448 
 elec30	   260 
 elec31	   416 
 elec32	    50 
 elec33	   419 
 elec34	   450 
 elec35	   323 
 elec36	   372 
 elec37	   289 
 elec38	   375 
 elec39	   298 
 elec40	   297 
 elec41	   321 
 elec42	   289 
 elec43	   247 
 elec44	   384 
 elec45	   548 
 elec46	   352 
 elec47	   398 
 elec48	   321 
 elec49	   293 
 elec50	   301 
 elec51	   251 
 elec52	   440 
 elec53	   273 
 elec54	   384 
 elec55	   290 
 elec56	   265 
 elec57	   367 
 elec58	   699 
 elec59	   386 
 elec60	   391 
 elec61	   380 
 elec62	   933 
 elec63	   319 
 elec64	   386 
 elec65	   341 
 elec66	   393 
 elec67	   391 
 elec68	   387 
 elec69	   296 
 elec70	   381 
 elec71	   377 
 elec72	   311 
 elec73	   371 
 elec74	   361 
 elec75	   526 
 elec76	   703 
 elec77	   224 
 elec78	   276 
 elec79	   123 
 elec80	   347 
 elec81	   229 
 elec82	   307 
 elec83	   163 
 elec84	   401 
 elec85	   279 
 elec86	   349 
 elec87	   321 
 elec88	   272 
 elec89	   410 
 elec90	   228 
 elec91	   387 
 elec92	   424 
 elec93	   419 
 elec94	   419 
 elec95	    51 
 elec96	   211 
 elec97	    0.64 uV
 elec98	    0.61 uV
 elec99	    0.64 uV
elec100	    0.63 uV
elec101	    0.55 uV
elec102	    0.62 uV
elec103	    0.62 uV
elec104	    0.63 uV
elec105	    0.62 uV
elec106	    0.64 uV
elec107	    0.63 uV
elec108	    0.65 uV
elec109	    0.62 uV
elec110	    0.63 uV
elec111	    0.64 uV
elec112	    0.63 uV
elec113	    0.59 uV
elec114	    0.62 uV
elec115	    0.61 uV
elec116	    0.59 uV
elec117	    0.62 uV
elec118	    0.59 uV
elec119	    0.57 uV
elec120	    0.61 uV
elec121	    0.64 uV
elec122	    0.64 uV
elec123	 4312.78 uV
elec124	    0.63 uV
elec125	 4348.92 uV
elec126	 4353.03 uV
elec127	 4310.75 uV
elec128	 4296.90 uV
