* AutoImpedance measurements
*  3\26\2015* 12:51:35
*
* m = 5.40
* expected = 4460.00
* b = 34.00
*
* elec 	 RMS/Impedance
*******	**************
  elec1	   357 
  elec2	  5619 
  elec3	   307 
  elec4	   318 
  elec5	   391 
  elec6	   275 
  elec7	   391 
  elec8	   284 
  elec9	   377 
 elec10	   318 
 elec11	   368 
 elec12	   407 
 elec13	   482 
 elec14	   355 
 elec15	   414 
 elec16	   389 
 elec17	   423 
 elec18	   290 
 elec19	   427 
 elec20	   294 
 elec21	   328 
 elec22	   509 
 elec23	   487 
 elec24	   508 
 elec25	   372 
 elec26	   229 
 elec27	   639 
 elec28	   477 
 elec29	   637 
 elec30	   477 
 elec31	   315 
 elec32	   233 
 elec33	   372 
 elec34	   544 
 elec35	   369 
 elec36	   367 
 elec37	   235 
 elec38	   286 
 elec39	   332 
 elec40	   276 
 elec41	   310 
 elec42	   275 
 elec43	   300 
 elec44	   312 
 elec45	   256 
 elec46	   284 
 elec47	   288 
 elec48	   332 
 elec49	   304 
 elec50	   311 
 elec51	   251 
 elec52	   278 
 elec53	   300 
 elec54	   383 
 elec55	   307 
 elec56	   311 
 elec57	   340 
 elec58	   313 
 elec59	   356 
 elec60	   361 
 elec61	   355 
 elec62	   379 
 elec63	   360 
 elec64	   466 
 elec65	 12569 
 elec66	 12926 
 elec67	   453 
 elec68	   383 
 elec69	   316 
 elec70	   375 
 elec71	   374 
 elec72	   382 
 elec73	   322 
 elec74	   324 
 elec75	   277 
 elec76	   314 
 elec77	   263 
 elec78	   259 
 elec79	   214 
 elec80	   296 
 elec81	   224 
 elec82	   289 
 elec83	   303 
 elec84	   324 
 elec85	   301 
 elec86	   311 
 elec87	   291 
 elec88	   402 
 elec89	   294 
 elec90	   292 
 elec91	   350 
 elec92	   302 
 elec93	   322 
 elec94	   369 
 elec95	    42 
 elec96	  5725 
 elec97	    0.64 uV
 elec98	    0.65 uV
 elec99	    0.63 uV
elec100	    0.59 uV
elec101	    0.57 uV
elec102	    0.60 uV
elec103	    0.60 uV
elec104	    0.66 uV
elec105	    0.63 uV
elec106	    0.60 uV
elec107	    0.65 uV
elec108	    0.60 uV
elec109	    0.61 uV
elec110	    0.66 uV
elec111	    0.61 uV
elec112	    0.60 uV
elec113	    0.60 uV
elec114	    0.61 uV
elec115	    0.64 uV
elec116	    0.63 uV
elec117	    0.62 uV
elec118	    0.60 uV
elec119	    0.59 uV
elec120	    0.61 uV
elec121	    0.63 uV
elec122	    0.61 uV
elec123	 4312.72 uV
elec124	    0.60 uV
elec125	 4348.66 uV
elec126	 4352.62 uV
elec127	 4311.06 uV
elec128	 4296.86 uV
