* AutoImpedance measurements
*  3\26\2015* 12:33:37
*
* m = 5.40
* expected = 4460.00
* b = 34.00
*
* elec 	 RMS/Impedance
*******	**************
  elec1	   360 
  elec2	   289 
  elec3	   275 
  elec4	   304 
  elec5	   321 
  elec6	   291 
  elec7	   286 
  elec8	   213 
  elec9	   289 
 elec10	   340 
 elec11	   269 
 elec12	   242 
 elec13	   272 
 elec14	   319 
 elec15	   324 
 elec16	   324 
 elec17	   364 
 elec18	   329 
 elec19	   267 
 elec20	   322 
 elec21	   287 
 elec22	   323 
 elec23	   321 
 elec24	   323 
 elec25	   296 
 elec26	   322 
 elec27	   327 
 elec28	   324 
 elec29	   327 
 elec30	   324 
 elec31	   332 
 elec32	    58 
 elec33	   315 
 elec34	   334 
 elec35	   337 
 elec36	   333 
 elec37	   343 
 elec38	   370 
 elec39	   411 
 elec40	   390 
 elec41	   378 
 elec42	   308 
 elec43	   285 
 elec44	   308 
 elec45	   307 
 elec46	   340 
 elec47	   313 
 elec48	   416 
 elec49	   310 
 elec50	   237 
 elec51	   368 
 elec52	   272 
 elec53	   369 
 elec54	   273 
 elec55	   336 
 elec56	   339 
 elec57	   282 
 elec58	   294 
 elec59	   300 
 elec60	   333 
 elec61	   422 
 elec62	   333 
 elec63	   428 
 elec64	   342 
 elec65	   309 
 elec66	   305 
 elec67	   252 
 elec68	   339 
 elec69	   414 
 elec70	   342 
 elec71	   370 
 elec72	   379 
 elec73	   463 
 elec74	   516 
 elec75	   523 
 elec76	   391 
 elec77	   513 
 elec78	   496 
 elec79	   345 
 elec80	   432 
 elec81	   367 
 elec82	   390 
 elec83	   444 
 elec84	   365 
 elec85	   285 
 elec86	   315 
 elec87	   396 
 elec88	   510 
 elec89	   341 
 elec90	   339 
 elec91	   287 
 elec92	   287 
 elec93	   304 
 elec94	   303 
 elec95	    55 
 elec96	   423 
 elec97	    0.62 uV
 elec98	    0.63 uV
 elec99	    0.62 uV
elec100	    0.60 uV
elec101	    0.62 uV
elec102	    0.60 uV
elec103	    0.61 uV
elec104	    0.61 uV
elec105	    0.58 uV
elec106	    0.62 uV
elec107	    0.63 uV
elec108	    0.60 uV
elec109	    0.62 uV
elec110	    0.57 uV
elec111	    0.63 uV
elec112	    0.58 uV
elec113	    0.61 uV
elec114	    0.66 uV
elec115	    0.63 uV
elec116	    0.64 uV
elec117	    0.59 uV
elec118	    0.59 uV
elec119	    0.59 uV
elec120	    0.57 uV
elec121	    0.59 uV
elec122	    0.62 uV
elec123	 4310.74 uV
elec124	    0.63 uV
elec125	 4348.19 uV
elec126	 4352.25 uV
elec127	 4308.63 uV
elec128	 4294.95 uV
