metric,contrast,k,mde,fold_change,pct_change,pct_points
mmp2p:logamp,within,1,0.16380186700543337,1.4581488746268805,45.81488746268805,
mmp2p:logamp,within,2,0.11582541093055893,1.3056459048816476,30.564590488164754,
mmp2p:logamp,within,4,0.08190093350271668,1.2075383532736674,20.753835327366744,
mmp2p:logamp,within,8,0.05791270546527946,1.1426486357938943,14.26486357938943,
mmp2p:logamp,between_array,1,0.3598013425669237,2.2898199907883505,128.98199907883506,
mmp2p:logamp,between_array,2,0.2544179692090957,1.7964617272673125,79.64617272673125,
mmp2p:logamp,between_array,4,0.17990067128346185,1.5132151171556378,51.32151171556379,
mmp2p:logamp,between_array,8,0.12720898460454785,1.3403215014567633,34.03215014567633,
mmp2p:logamp,between_array_cleanpairs,1,0.2642387413770142,1.83754820704311,83.754820704311,
mmp2p:logamp,between_array_cleanpairs,2,0.1868450058798851,1.537605790620987,53.7605790620987,
mmp2p:logamp,between_array_cleanpairs,4,0.1321193706885071,1.3555619524917,35.556195249169996,
mmp2p:logamp,between_array_cleanpairs,8,0.09342250293994254,1.240002334925619,24.000233492561907,
mmp2p:logamp,between_subject,1,0.6347590962392003,4.31279778963637,331.279778963637,
mmp2p:logamp,between_subject,2,0.44884246137058287,2.8108810093193064,181.08810093193063,
mmp2p:logamp,between_subject,4,0.3173795481196002,2.076727663810633,107.67276638106331,
mmp2p:logamp,between_subject,8,0.22442123068529143,1.676568223878559,67.65682238785591,
mmp2p:max_p2p_uv,within,1,44.5022323026208,,,
mmp2p:max_p2p_uv,within,2,31.46783023912219,,,
mmp2p:max_p2p_uv,within,4,22.2511161513104,,,
mmp2p:max_p2p_uv,within,8,15.733915119561095,,,
mmp2p:max_p2p_uv,between_array,1,68.62692255406222,,,
mmp2p:max_p2p_uv,between_array,2,48.52656230994141,,,
mmp2p:max_p2p_uv,between_array,4,34.31346127703111,,,
mmp2p:max_p2p_uv,between_array,8,24.263281154970706,,,
mmp2p:max_p2p_uv,between_array_cleanpairs,1,79.46368262668841,,,
mmp2p:max_p2p_uv,between_array_cleanpairs,2,56.18930884338702,,,
mmp2p:max_p2p_uv,between_array_cleanpairs,4,39.731841313344205,,,
mmp2p:max_p2p_uv,between_array_cleanpairs,8,28.09465442169351,,,
mmp2p:max_p2p_uv,between_subject,1,120.1166487430584,,,
mmp2p:max_p2p_uv,between_subject,2,84.93529685961919,,,
mmp2p:max_p2p_uv,between_subject,4,60.0583243715292,,,
mmp2p:max_p2p_uv,between_subject,8,42.46764842980959,,,
yield:active,within,1,0.06244323595533408,,,6.244323595533408
yield:active,within,2,0.04415403558324837,,,4.4154035583248366
yield:active,within,4,0.03122161797766704,,,3.122161797766704
yield:active,within,8,0.022077017791624184,,,2.2077017791624183
yield:active,between_array,1,0.2870853605987181,,,28.708536059871808
yield:active,between_array,2,0.20300000525873882,,,20.30000052587388
yield:active,between_array,4,0.14354268029935904,,,14.354268029935904
yield:active,between_array,8,0.10150000262936941,,,10.15000026293694
yield:active,between_array_cleanpairs,1,0.4706507161610743,,,47.06507161610743
yield:active,between_array_cleanpairs,2,0.3328003129678006,,,33.28003129678006
yield:active,between_array_cleanpairs,4,0.23532535808053714,,,23.532535808053716
yield:active,between_array_cleanpairs,8,0.1664001564839003,,,16.64001564839003
yield:active,between_subject,1,0.49766776970101073,,,49.76677697010107
yield:active,between_subject,2,0.3519042547335697,,,35.19042547335697
yield:active,between_subject,4,0.24883388485050537,,,24.883388485050535
yield:active,between_subject,8,0.17595212736678484,,,17.595212736678484
crossing_rate:lograte,within,1,0.16999220492821343,1.4790818401620176,47.90818401620176,
crossing_rate:lograte,within,2,0.12020264085359295,1.3188719777854168,31.887197778541676,
crossing_rate:lograte,within,4,0.08499610246410672,1.2161750861459124,21.61750861459124,
crossing_rate:lograte,within,8,0.06010132042679647,1.148421515727312,14.842151572731211,
crossing_rate:lograte,between_array,1,0.42328261116110116,2.6502241745316857,165.02241745316857,
crossing_rate:lograte,between_array,2,0.2993060047103632,1.9920764654379184,99.20764654379184,
crossing_rate:lograte,between_array,4,0.21164130558055058,1.6279509128139231,62.79509128139231,
crossing_rate:lograte,between_array,8,0.1496530023551816,1.4114093897370523,41.14093897370523,
