metric,vA,vD,vD_clean_fisk,vS,vE,rho,rho_clean,rho_device,eff_m48,eff_m96,eff_m48_clean,n_sess_mean,n_ch_mean
mmp2p:logamp,0.02400044659232406,0.009415804144166278,0.005291772485014069,0.06835066020122178,0.039989982512033555,0.23572928217657896,0.2128286711200254,0.07995998856493049,15.804970647966178,30.609941295932355,13.977830669082827,3.666433321666083,94.18681318681318
mmp2p:max_p2p_uv,804.4040715469976,276.1041857429849,447.3234992107151,4616.461085138142,3777.2766067679554,0.11404688701180139,0.12977368500853637,0.031846507657167726,7.178939377618494,13.357878755236989,8.158065405630545,3.666433321666083,94.18681318681318
yield:active,0.01405774827165223,0.0037415584438683968,0.013462614577306518,0.00450391930941133,0.03202053082912458,0.3276523522358615,0.4297047889628838,0.09292101640050328,24.39163817947726,47.78327635895452,37.16693507334404,3.7747252747252746,96.0
crossing_rate:lograte,,0.011463600105006019,,0.08881771383235468,0.027583984044869485,0.08965372376951837,,0.08965372376951837,5.727188821770225,10.45437764354045,,3.0,96.0
