metric,variant,contrast,sd,ci_lo,ci_hi,n_units,efficiency_vs_within
tdt_sig:logamp,realistic,within,0.07063784194248193,0.0626257283483407,0.07955214817878611,5,1.0
tdt_sig:logamp,realistic,between_array,0.23011467884819373,0.1983453413438597,0.2535530135970247,2,10.612404631830183
tdt_sig:logamp,realistic,between_subject,0.23860791706688064,0.12827320950368007,0.24994625001255258,3,11.410241957591388
tdt_sig:logamp,matched,within,0.11424251361199424,0.0999073346999067,0.12832369969037724,5,1.0
tdt_sig:logamp,matched,between_array,0.2638471879143885,0.19536028686168813,0.30319155820933763,2,5.333956130852986
tdt_sig:logamp,matched,between_subject,0.23847860368048962,0.1334053217403,0.26021160339794847,3,4.3575596442227615
